,user_id,Experience_score,Engagement_score,Satisfactory_score
151,33650392011.0,0.4226546721645841,0.26561398889572835,0.3441343305301562
435,33664111361.0,0.3764284529518116,0.9334430296851407,0.6549357413184762
468,33658562864.0,0.6845869791311343,0.8718917805688113,0.7782393798499728
472,33667346490.0,0.5390312468673844,0.8753862921616172,0.7072087695145008
476,33664412882.0,0.5165513693878461,0.9637165831320478,0.7401339762599469
484,33664342446.0,0.7307028629606953,0.9944018166707271,0.8625523398157112
490,33659604789.0,0.6887165916185491,0.8825745691266957,0.7856455803726224
492,33663047808.0,0.220947614208596,0.8873471211145859,0.5541473676615909
494,33677031289.0,0.08947414737390491,0.8911229499734274,0.4902985486736662
499,33650695271.0,0.48981278518892424,0.9303679200517814,0.7100903526203528
500,33668707563.0,0.591403837108615,0.9928827337111699,0.7921432854098924
510,33635573427.0,0.47695410361638735,0.9516818667825621,0.7143179851994748
517,33769743524.0,0.5494623318404876,0.8823526040489778,0.7159074679447327
521,33617340134.0,0.5918662851958643,0.873872508500272,0.7328693968480682
523,33650697869.0,0.6258237916812692,0.9368701644239655,0.7813469780526174
525,33612761062.0,0.4928376856262884,0.9145847798018278,0.7037112327140581
533,33660400620.0,0.5301358176047484,0.9385795680554615,0.734357692830105
538,33663163636.0,0.25072468563062666,0.8879731958732676,0.5693489407519472
540,33659322790.0,0.5356078393925519,0.9145361776259172,0.7250720085092346
546,33685401468.0,0.1765963136153912,0.888122181982708,0.5323592477990495
548,33664666068.0,0.23873293505825188,0.9560568196535293,0.5973948773558906
550,33650748377.0,0.5587177294502816,0.9803874322637813,0.7695525808570315
555,33673536690.0,0.17482384736011203,0.9353795462882054,0.5551016968241587
556,33634566618.0,0.43652791668784885,0.9265669573613612,0.6815474370246051
559,33660405708.0,0.3736090697854251,0.9167146452489109,0.645161857517168
567,33650750179.0,0.5283438269943201,0.8782109718959893,0.7032773994451547
631,33663615326.0,0.3369532411152436,0.891895891120398,0.6144245661178208
648,33659336734.0,0.600279977064885,0.9562627354141868,0.7782713562395359
658,33667475233.0,0.5113359669166055,0.9050596617740689,0.7081978143453372
734,33665755648.0,0.4990550667124909,0.9806461896422918,0.7398506281773913
814,33658032908.0,0.10185143964011845,0.939711953330884,0.5207816964855012
841,33662201958.0,0.2567234756944081,0.9182179817117739,0.587470728703091
847,33664323632.0,0.6239036425982352,0.9564582039781631,0.7901809232881991
856,33650833875.0,0.25911954716351016,0.8735733250120847,0.5663464360877974
858,33650245260.0,0.9424319247881763,0.90317659242215,0.9228042586051631
873,33661958442.0,0.6067349788819214,0.9318079676994167,0.769271473290669
926,33663789993.0,0.21515375914344004,0.9508898481471787,0.5830218036453094
969,33699942950.0,0.5596362038423628,0.9784768065414289,0.7690565051918958
972,33666183257.0,0.36832297898812216,0.9244675250529936,0.6463952520205578
1267,33663258895.0,0.2610207545905048,0.9357747228584833,0.5983977387244941
1453,33645378591.0,0.3600566346061036,0.9386249906497429,0.6493408126279232
1802,33662196397.0,0.13333092828089677,0.8805817285039136,0.5069563283924052
1891,33787371723.0,0.21186546559324526,0.9936862594030296,0.6027758624981374
1943,33669254585.0,0.46481478206398985,0.9409865113263687,0.7029006466951793
2063,33623386667.0,0.3085248757658532,0.9724360557330272,0.6404804657494402
2260,33660026443.0,0.3263039599073507,0.9332746632689826,0.6297893115881666
2272,33660757816.0,0.5259288143527845,0.9384175608025239,0.7321731875776543
2289,33658999546.0,0.25180374998082766,0.8926318885572924,0.57221781926906
3056,33617187670.0,0.13724899704200189,0.8821024769627618,0.5096757370023819
3486,33668529280.0,0.3071246666516225,0.883429119535032,0.5952768930933272
3527,33659268071.0,0.2735134795611667,0.9436912754069404,0.6086023774840535
3561,33635419004.0,0.5513567945227553,0.9366151922613875,0.7439859933920714
3673,33659663860.0,0.11537844679312004,0.9020894783313469,0.5087339625622335
3781,33785479424.0,0.5249204180466085,0.9645226827714182,0.7447215504090133
3903,33699661496.0,0.692377919817627,0.8843882933189915,0.7883831065683092
3983,33611242993.0,0.21907851625452945,0.8887515877316275,0.5539150519930784
4006,33623461336.0,0.5443304340210606,0.24536232288297385,0.39484637845201725
4053,33618500143.0,0.30513383621218026,0.933332955598318,0.6192333959052492
4125,33686779164.0,0.4855800831186299,0.9665412628600252,0.7260606729893275
4156,33660920748.0,0.2641166391147107,0.9047806156362936,0.5844486273755022
4206,33633422595.0,0.25452067949326884,0.965434919872679,0.6099777996829739
4208,33619657220.0,0.3383470247035496,0.9101919607059666,0.6242694927047581
4313,33659092105.0,0.30161404349710486,0.9411300467242897,0.6213720451106972
4473,33620553982.0,0.704144613245745,0.8897478566341525,0.7969462349399488
4474,33659170281.0,0.6149501425509192,0.9426377740370208,0.77879395829397
4478,33761979171.0,0.5572533086743758,0.9469418676618487,0.7520975881681122
4510,33619586690.0,0.07686560716037971,0.8938985733046457,0.4853820902325127
4591,33683406087.0,0.20449825824540535,0.9812687820006449,0.5928835201230251
4616,33622772625.0,0.6548876133581274,0.9719379212827912,0.8134127673204593
4745,33785501842.0,0.2834883828867585,0.9874553393353904,0.6354718611110745
4751,33658798316.0,0.65951208390987,0.9634946180547881,0.8115033509823291
4786,33677567527.0,0.4043104652024547,0.9311982450754057,0.6677543551389302
4817,33633559765.0,0.5611841221504585,0.9804604112318576,0.770822266691158
4861,33612359429.0,0.023662891860933177,0.877069502099843,0.4503661969803881
4869,33664234672.0,0.5192551209969101,0.9613214497369209,0.7402882853669155
5065,33662122644.0,0.13699207454472329,0.8736399448171468,0.505316009680935
5128,33778549160.0,0.24502748138922392,0.9331221947608243,0.5890748380750241
5166,33664012015.0,0.2872394072652804,0.9437659198702006,0.6155026635677405
5205,33617845284.0,0.6330947865083967,0.9810336443711414,0.807064215439769
5239,33666615355.0,0.4057235124193943,0.1638835615063947,0.2848035369628945
5275,33669938600.0,0.46502644570493645,0.23480111411034152,0.349913779907639
5276,33667986981.0,0.07710968502581617,0.953915749968575,0.5155127174971956
5282,33666384808.0,0.4331369012536359,0.9414820718299485,0.6873094865417921
5359,33754147188.0,0.45846893299007174,0.9550608535699818,0.7067648932800268
5412,33618797323.0,0.13693426698197886,0.873315476084763,0.5051248715333709
5465,33658799901.0,0.38048805077089876,0.8938773760939565,0.6371827134324276
5532,33662309568.0,0.4091729246110982,0.8691853509879108,0.6391791377995045
5688,33668342577.0,0.24770587420562196,0.9469998571738699,0.597352865689746
5735,33781114651.0,0.5748841586586029,0.9512106830713588,0.7630474208649809
5750,33661461801.0,0.2829164441384606,0.9765725399821921,0.6297444920603263
5799,33617507713.0,0.6656587749603793,0.9116707689681565,0.7886647719642679
5859,33642792846.0,0.45717150207988744,0.972243161116128,0.7147073315980077
5931,33659250046.0,0.5095632436504587,0.8626028600202927,0.6860830518353758
